Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,1,73,59,6,7,1,-85,15.273624,11.584725,0.540737,16.632690,4.065250,7,19,0.730769,-6.198788,0.431212,11.071429,16.763158,0.980991,0.959225,0.964933,0.962972,0.518771,0.449360,0.846154,0.567227,-0.178895,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,2,12,9,1,2,0,-19,9.662152,16.333607,1.885681,6.326425,0.984161,2,4,0.666667,-1.006160,0.200456,21.000000,8.500000,0.670498,0.690089,0.952329,0.953364,0.506595,0.476025,0.812500,0.515754,0.441623,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,3,156,97,21,28,10,-91,32.734055,43.744942,2.827995,28.097887,3.597341,16,38,0.703704,-6.419327,2.486575,42.687500,27.000000,0.911768,0.975090,0.963750,0.950970,0.535277,0.494950,0.651163,0.395801,0.217796,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,4,13,11,1,1,0,-12,12.468273,7.665586,0.584839,14.069169,2.180135,1,3,0.750000,-0.503993,0.067713,9.000000,11.833333,0.789253,1.147624,0.926645,0.960079,0.438047,0.539183,0.655556,0.392408,-0.294624,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,5,49,29,10,9,1,-30,41.385887,34.600891,1.442030,53.598877,8.526904,9,5,0.357143,-1.673256,1.129602,42.888889,61.600000,0.606748,0.624725,0.833742,0.851414,0.451128,0.501308,0.634615,0.422465,-0.215397,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,6,5,5,0,0,0,1,30.222143,30.222143,1.145630,0.000000,0.000000,1,0,0.000000,0.000000,0.337337,64.000000,0.000000,0.055388,0.000000,0.117293,0.000000,0.378546,0.000000,0.638095,0.423374,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,7,125,92,10,19,4,-87,28.522884,45.677517,1.837308,20.832878,3.159479,13,29,0.690476,-6.828592,1.715941,35.653846,20.500000,1.114111,0.921153,0.959967,0.940357,0.519499,0.496112,0.612245,0.427143,0.373545,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,8,199,135,24,38,2,-48,20.197659,14.181105,2.207553,24.351946,2.710127,29,42,0.591549,-7.584038,6.638080,16.637931,28.619048,0.788831,0.785105,0.943199,0.949250,0.492457,0.491359,0.573394,0.473989,-0.263951,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,9,2,2,0,0,0,0,2.857444,2.857444,-0.035889,0.000000,0.000000,1,0,0.000000,0.000000,0.385357,14.000000,0.000000,0.009340,0.000000,0.045759,0.000000,0.187902,0.000000,0.575342,0.472238,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24\240508_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,10,214,176,23,14,1,-31,18.766796,16.285397,2.249770,22.240755,2.887598,35,25,0.416667,-5.704438,7.014230,16.100000,19.840000,0.934449,1.050142,0.901980,0.933108,0.506683,0.485754,0.541219,0.500474,-0.154580,0,0 
