Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,1,289,149,43,75,22,-20,19.102556,16.116652,3.325394,21.849590,2.959062,46,50,0.520833,-15.591082,19.044764,17.413043,20.700000,0.768768,0.810141,0.825348,0.847912,0.500223,0.462816,0.552083,0.537054,-0.151001,0,0 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,2,138,78,18,36,6,-78,37.478813,12.331811,2.427999,62.625820,6.990611,12,12,0.500000,-5.188993,6.821624,13.416667,61.750000,0.712889,0.733445,0.731245,0.835446,0.432405,0.539703,0.533333,0.424132,-0.670966,0,0 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,3,92,56,9,23,4,-144,27.834499,14.830497,2.742222,32.169167,8.160267,7,21,0.750000,-9.512285,2.600764,13.571429,28.976190,0.960449,0.864197,0.952083,0.928773,0.589855,0.465914,0.560811,0.426609,-0.368910,-1,1 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,4,55,25,4,23,3,-143,34.079849,46.954304,5.684448,32.324245,7.002369,3,22,0.880000,-6.315119,0.527243,33.166667,22.636364,1.280672,1.326028,0.866233,0.944859,0.626436,0.537992,0.554913,0.410370,0.184540,-1,1 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,5,241,117,50,58,16,-147,26.567678,27.917965,3.467304,25.562815,4.511472,32,43,0.573333,-12.922025,6.964083,24.531250,22.151163,1.082940,0.977064,0.941670,0.935102,0.516082,0.498949,0.556452,0.438266,0.044037,-1,1 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,6,131,45,36,39,11,-151,18.328259,15.252275,1.612201,19.577877,5.974415,13,32,0.711111,-14.826706,2.621214,15.076923,19.656250,0.769670,0.830790,0.933040,0.938045,0.537159,0.481555,0.566553,0.436167,-0.124191,-1,1 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,7,2,0,1,1,0,4,15.226321,15.226321,3.904297,0.000000,0.000000,1,0,0.000000,0.000000,0.981072,84.500000,0.000000,0.047355,0.000000,0.262799,0.000000,0.243369,0.000000,0.568027,0.435724,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,8,3,2,0,1,0,30,11.084184,11.084184,9.666382,0.000000,0.000000,3,0,0.000000,0.000000,2.939763,35.666667,0.000000,0.187847,0.000000,0.497691,0.000000,0.410949,0.000000,0.565657,0.435886,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,9,45,29,5,11,0,-134,37.377995,30.828558,2.171265,42.617542,5.859753,8,10,0.555556,-1.997947,1.045460,24.500000,30.650000,1.076281,1.208064,0.955025,0.937724,0.493107,0.494463,0.561905,0.440351,-0.160512,-1,1 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,10,1,1,0,0,0,0,3.640476,1.215163,-0.002808,6.065790,0.995544,1,1,0.500000,-0.555260,0.014416,6.000000,66.500000,0.014198,0.028219,0.070106,0.309366,0.265931,0.807096,0.561514,0.440438,-0.666208,0,0 
Z:\Malcom\Behavior\Analysis\240531_N2_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24\240531_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,11,28,17,1,9,1,-13,18.573769,0.000000,0.000000,18.573769,3.310376,0,5,1.000000,-0.941970,0.000000,0.000000,15.800000,0.000000,1.022832,0.000000,0.932675,0.000000,0.425805,0.565217,0.442010,-1.000000,0,0 
