833.33,856.967,677.722,644.125,426.333,415.192,508.75,625.361,1254.35,614.675,395.464,384.667,1192.444,1188.889
816.911,818.95,630.694,620.9,423.2,408.452,502.028,617.028,1508.275,593.55,394.357,381.542,1124.167,1156.333
1038.598,811.417,607.472,608.875,416.011,405.885,497.056,598.25,1914.325,603.85,382.571,379.958,1045.167,1123.222
1587.241,816.533,572.917,601.65,414.378,403.038,480.194,598.25,1890.2,570.7,386.179,383.333,1088.778,1077.944
1777.375,794.783,556.111,585.975,414.633,400.577,487.806,584.083,1805.55,554.825,393.679,379.375,2544.667,1326
1696.304,784.4,540.194,572.9,402.833,397.279,474.111,590.444,1731.7,535.775,384.143,371.417,3101.944,1459.056
1604.58,770.067,519.278,557.525,401.033,392.673,479.028,564.944,1669.425,548.6,381.929,373.667,2851.389,1441.778
1548.321,769.533,504.028,545.225,404.822,387.471,490.583,576.5,1559.1,554.175,384.339,376.417,2598.667,1315.944
1472.018,749.883,489.75,543.275,400.911,386.673,3485.028,2200.111,1516.4,542.675,375.589,376.125,2392.056,1222.833
1411.223,743.483,494.194,544.95,399.467,385.587,3394.417,2750.833,1810.05,1025.975,550.857,1275.896,2191.611,1155.944
1368.857,840.65,481.222,562.275,399.011,385.433,3006.972,2512.5,2254.975,1843.975,531.804,1166.146,2036,1065.167
1402.625,1260.467,482.917,556.475,396.9,383.779,2749.222,2300.75,2176.425,1625.625,516.107,1032.833,1882.667,984.278
1398.08,1348.033,460.444,552.35,393.744,381.923,2466.472,2071.833,2051.2,1411.9,491.964,917.438,1637.889,990.222
1352.018,1290.85,456.333,550.75,393.267,382.067,2241.806,1845.472,1984.65,1283.9,477.036,827.062,1514.111,953.389
1301.812,1220.417,440.111,524.275,397.722,381.865,2087.361,1641.556,1973.1,1169.125,459.25,771.938,1402.556,900.5
1246.411,1165.8,432.361,513.4,395.922,376.885,1878.639,1499.139,1891.875,1090.275,453.214,714.167,1286.667,909.111
1202.812,1112.967,429.389,495.9,1056.156,470.423,1718.722,1436.833,1791.725,1034.75,439.946,661.146,1436.667,1724.889
1160.446,1053.05,424.611,490.15,2157.9,1543.558,1549.222,1336.25,1863.65,965.35,426.964,621.188,1497,2272
1109.83,1009.95,420.194,475.975,2028.289,1507.106,1349.417,1230.194,1931.35,904.925,427.464,598.375,1472.111,2186.944
1064.286,979.35,411.722,466.675,1848.478,1388.221,1253.833,1164.611,1854.775,886.25,424.607,562.646,1398.167,1978
1037.893,961,419,474.5,1700.322,1300.712,1167.778,1081.861,1807.1,847.05,409.089,544.75,1306.167,1851.222
1011.339,928.683,403.139,467.25,1550.656,1204.26,1051.639,1003.25,1933.675,799.575,407.571,512.604,1254.056,1689.111
993.455,900.733,410.056,463.675,1445.233,1122.923,963.806,934.833,1889.625,788.325,396.375,494.771,744.5,1581.611
985.884,885.45,399.056,475.75,1348.944,1069.731,885.306,881.611,2121.325,2182.075,404.696,476.729,716.167,1480.056
970.723,866.667,404.028,461.1,1244.722,992.5,810.583,821.083,2287.775,1993.75,398.161,469.312,695.667,1340.889
955.696,844.233,402.528,464.125,1168.044,937.394,755.444,772.056,2265.15,1795.35,392.268,462.333,669.389,1272.722
930.196,837.45,397.944,456.3,1073.533,889.327,705.528,729.722,2243.225,1656.225,394.518,450.896,654.667,1147
919.973,827.717,393.611,451.075,990.667,842.25,653,695.222,2120.575,1510.925,394.036,441.979,652.278,1062.389
907.375,832.15,401.5,455.325,938.956,810.49,639,663.056,1993.5,1411.5,382.054,434.146,620.944,1014.889
952.688,1206.117,388.583,444.25,905.756,773.048,594.889,624.917,2042.375,1312.275,393.75,422.521,603.667,963.222
984.973,1282.65,390.333,450.9,844.2,730.952,560.639,609.778,2032.725,1191.725,382.339,413.229,600,916.556
968.411,1226.983,388.333,443.975,803.844,699.125,531.444,581.333,1915.1,1102.1,388.071,409.5,577.722,865
946.232,1158.783,379.972,445.65,768.8,668.51,507.722,548.222,1825.85,1064.7,384.393,403.208,581.667,816
921.116,1114.467,392.667,539,733.311,635.452,490.833,543.25,1988.5,1996.05,381.982,400.667,572.167,775.222
906.625,1070.383,537.889,1889.525,708,622.519,485.25,524.139,2057.9,1943.95,378.625,392.854,593.611,1412
888.929,1053.767,522.889,1701,662.922,603.558,478.833,519.583,1997.975,1726.6,378.679,388.271,652.667,1854.722
886.036,1018.383,510.639,1529,638.467,583.481,472.056,529.583,1889.175,1623.25,385.661,388.708,649.389,1900.611
881.705,988.833,499,1379.375,604.778,565.154,469.5,523.75,2181.6,1560.2,381.161,391.458,644.056,1738.833
879.661,952.417,498.417,1241.475,580.022,552.702,454.167,515.639,2322.175,1908.7,374.857,388.604,631.611,1579.556
856.866,928.617,482.306,1151.4,560.689,531.846,458.944,517.472,2176.9,1759.925,381.982,393.042,600.111,1437.667
842.241,914.967,476.306,1050.575,544.744,519.635,453.889,517.361,2099.425,1607.7,380.946,382.958,584.333,1316.5
823.196,896.117,456.306,979.175,531.922,509,446.194,523.861,2190.7,1473.85,373.964,389.5,1259.333,1344.389
826.75,867.967,452.75,928.1,511.989,490.923,450.694,507.222,2152.625,1375.025,379.911,387.646,2180.833,1532.278
811.804,851.7,443.306,849.775,498.1,477.558,452.528,505.583,2058.925,1302.55,376.179,378,2180.833,1563.056
825.205,834.783,436.75,794.25,485.111,470.356,467.028,510.583,2179.8,1899.85,376.036,381.562,2342.944,1465.167
1226.634,849.3,433.361,733,479.622,459.154,472.944,514.056,2311.825,2041.45,373.339,376.75,2131.389,1418.833
