251.72,248.775,217.606,237.92
248.28,245.625,218.197,233.5
247.6,244.025,215.515,231.82
249.32,241.375,217.167,231.46
246.98,241.575,218.848,231.96
251.76,244.15,218.015,240.3
248.14,245.225,212.636,230.16
257.44,243.65,220.288,234.14
255.38,248.9,218.939,236.54
255.88,243.4,217.667,227.9
258.92,239.575,220.333,233.74
1167.88,799.3,214.879,231.1
1378.72,963.25,217.424,228.86
1283.54,894.75,219.545,228.32
1160.18,860.375,215.273,228.38
1057.9,820.325,219.364,224.4
941.12,784.9,215.788,228.02
871.16,735.6,218.167,224.6
798.64,686.05,214.333,225.98
756.3,643.025,220.045,231.42
705.38,581.55,215.727,224.94
660.88,563,219.015,227.2
622.68,542,218.485,229.24
596.78,518.35,218.152,235.38
580.5,492.825,223.742,239.62
552.32,482.85,226.848,234.92
523.12,462.6,221.879,234.6
481.64,453.575,224.53,238.36
461.82,435.75,223.985,243.52
428.5,423.9,223.727,241.64
401.26,402.575,224.955,239.78
386.52,377,223.424,241.04
377.44,372.775,223.182,241.52
363.76,360.225,222.833,236.4
365.78,353.575,220.727,239.58
375.54,351.475,223.803,237.08
359.24,339.075,222.591,237.08
357.38,335.375,227.015,238.84
353.38,326.8,223.47,238.48
340.52,318,225.455,240.86
328.88,309.5,222.894,238.64
317.24,300.075,224.848,240.56
310.12,300.425,225.697,240.28
302.32,292.3,222.864,242.66
296.96,294.1,223.833,239.92
291.68,283.425,227.015,239.88
287.62,286.25,230.364,245.3
282.94,292.425,229.424,240.7
285,288.925,228.288,244.42
287.76,291.425,230.455,240.46
282.86,293.875,227.97,243.08
275.06,288.35,227.879,241.06
272.06,287.225,230.712,248.36
276.62,281.875,229.894,246.12
271.22,277.15,229,249.2
270.8,274.225,233.742,249.82
266.06,275.45,227.712,246.78
264.32,273.7,230.288,244.56
266.5,266.35,228.667,246.16
258.24,264.75,230.379,239
263.42,259.275,232.545,248.14
259.56,259.375,231.939,250.86
258.62,255.55,231.258,252.26
257.36,254.325,229.667,246.6
259.74,263.25,229.439,247.98
257.52,260.075,229.045,245.34
257.48,253.75,230.788,251.04
256,258.7,230.97,248.48
261.88,253,235.121,256.22
253.26,251.05,229.485,249.26
253.7,251.2,229.47,248.36
257.6,253.65,230.03,251.62
252.12,250.575,231.727,251.56
244.98,250.8,231.227,246.18
252.64,257.475,228.288,251.52
249.76,257.2,229.167,250.82
247.7,253.925,769.53,1013.98
252.62,244.775,782.258,983.08
247.32,251.625,715.121,905
242.16,248.15,668.167,836
247.4,249.75,634.985,780.1
253.48,251.4,600.318,733.3
253.42,247.875,553.106,688.8
250.02,246.875,521.909,652.68
250.76,248.025,498.076,607.38
247.68,245.475,475.424,567.22
245.1,248.075,452.712,545.4
245.78,246.675,429.803,508.02
245.46,242.85,411.167,487.86
242.82,250.4,391.576,457
246.94,252.075,381.561,438.18
242.24,250.875,371.561,432.74
239.22,248.1,359.879,418.58
240.94,247.3,350.667,392.4
240.26,243.575,334.364,381.56
240.02,248.45,326.591,371.98
239.74,250.075,313.864,358.44
241.94,250.875,312.455,352.02
238.88,247.9,307.606,340.92
242.8,251.65,298.045,333.82
236.24,247.35,293.091,321.54
237.08,247.6,291.258,322.6
239.64,246.75,284.924,312.48
238.62,246.675,279.47,301.1
240.78,245.05,277.409,301.36
241.66,247.45,790.727,853.6
239.64,248.225,768.803,855.36
233.34,250.925,700.5,789.3
238.12,245.3,651.955,741.78
234.36,245.3,619.515,700.82
236.18,249.4,582.273,654.98
234.14,252.7,550.97,616.4
1190.06,1203.4,513.636,569.12
1241.62,1225.8,502.106,551.56
1157.66,1147.075,475.894,519.6
1039.06,1060.275,444.212,488.38
968.74,955.1,431.455,460.02
941.16,859.425,407.879,444.66
860.44,797.35,391.545,420.46
816.26,729.6,376.591,398.8
773.3,660.675,362.924,378.88
707.14,623.05,357.606,375.84
662.68,590.95,346.379,368.86
615.04,551.825,333.485,353.08
593.94,521.25,324.985,334.44
578.48,484.05,317.242,328.82
538.58,455.25,309.409,325.2
512.98,435.925,303.803,318.58
469.32,413.95,297.348,316.98
449.78,407.875,293.333,306.64
423.22,386.875,296.379,304.32
411.3,370.325,291.212,289.78
