LABEL,FRAME,Mean ch1
Label,Frame,Mean ch1
,,(counts)
ID8552,0.0,356.2162162162162
ID5394,0.0,1094.1081081081081
ID9657,0.0,1393.5945945945946
ID10453,0.0,554.5675675675676
ID6518,0.0,1139.7027027027027
ID3034,0.0,1119.3783783783783
ID7371,0.0,416.43243243243245
ID3830,0.0,717.3243243243244
ID8557,1.0,1111.945945945946
ID5406,1.0,960.8108108108108
ID9662,1.0,1085.6486486486488
ID10461,1.0,459.72972972972974
ID6524,1.0,955.0
ID3048,1.0,974.3243243243244
ID7375,1.0,1776.8918918918919
ID3836,1.0,619.7837837837837
ID8559,2.0,1015.8918918918919
ID5409,2.0,853.3243243243244
ID9664,2.0,906.0
ID10469,2.0,456.8918918918919
ID6527,2.0,806.918918918919
ID3050,2.0,888.1891891891892
ID7377,2.0,1612.5945945945946
ID3839,2.0,543.918918918919
ID8562,3.0,688.8918918918919
ID5416,3.0,680.3783783783783
ID9667,3.0,620.3513513513514
ID10471,3.0,408.3243243243243
ID6529,3.0,684.3243243243244
ID3052,3.0,739.5405405405405
ID7380,3.0,1117.162162162162
ID3845,3.0,454.5135135135135
ID8565,4.0,626.1891891891892
ID5423,4.0,641.2702702702703
ID9671,4.0,578.1621621621622
ID10473,4.0,359.8378378378378
ID6531,4.0,699.918918918919
ID3054,4.0,793.8378378378378
ID7384,4.0,957.4054054054054
ID3849,4.0,468.94594594594594
ID8569,5.0,512.027027027027
ID5430,5.0,598.8378378378378
ID9674,5.0,520.1891891891892
ID10475,5.0,372.35135135135135
ID6534,5.0,617.4054054054054
ID3056,5.0,705.4594594594595
ID7386,5.0,770.0540540540541
ID3854,5.0,413.7027027027027
ID8573,6.0,934.5675675675676
ID5432,6.0,578.7837837837837
ID9676,6.0,519.9459459459459
ID10477,6.0,359.4594594594595
ID6536,6.0,663.7297297297297
ID3059,6.0,1644.2432432432433
ID7389,6.0,1875.6216216216217
ID3856,6.0,1168.6486486486488
ID8578,7.0,658.972972972973
ID5434,7.0,551.918918918919
ID9678,7.0,555.1351351351351
ID10479,7.0,384.43243243243245
ID6539,7.0,625.6486486486486
ID3061,7.0,1182.8918918918919
ID7392,7.0,1242.2702702702702
ID3859,7.0,787.0540540540541
ID8581,8.0,961.3513513513514
ID5436,8.0,543.7567567567568
ID9680,8.0,569.081081081081
ID10481,8.0,392.5945945945946
ID6541,8.0,628.5405405405405
ID3063,8.0,1159.8648648648648
ID7396,8.0,1366.1351351351352
ID3862,8.0,714.9459459459459
ID8584,9.0,869.6486486486486
ID5438,9.0,1433.8918918918919
ID9682,9.0,575.4594594594595
ID10483,9.0,391.2432432432432
ID6543,9.0,1362.8648648648648
ID3066,9.0,1801.4054054054054
ID7398,9.0,1258.6756756756756
ID3865,9.0,1265.945945945946
ID8586,10.0,750.1081081081081
ID5440,10.0,1300.081081081081
ID9684,10.0,588.7837837837837
ID10485,10.0,400.97297297297297
ID6546,10.0,1139.2972972972973
ID3068,10.0,1493.6216216216217
ID7400,10.0,1117.4594594594594
ID3868,10.0,953.6486486486486
ID8588,11.0,651.2702702702703
ID5446,11.0,1126.4054054054054
ID9686,11.0,596.972972972973
ID10487,11.0,403.1621621621622
ID6548,11.0,927.1351351351351
ID3070,11.0,1230.081081081081
ID7402,11.0,900.8108108108108
ID3871,11.0,765.3243243243244
ID8590,12.0,552.7567567567568
ID5453,12.0,946.4864864864865
ID9688,12.0,605.7567567567568
ID10489,12.0,405.2162162162162
ID6550,12.0,819.0540540540541
ID3072,12.0,1078.162162162162
ID7404,12.0,743.1081081081081
ID3874,12.0,709.2702702702703
ID8594,13.0,462.7837837837838
ID5457,13.0,827.5405405405405
ID9690,13.0,565.2162162162163
ID10491,13.0,397.13513513513516
ID6552,13.0,757.1621621621622
ID3074,13.0,998.3783783783783
ID7406,13.0,620.1621621621622
ID3877,13.0,602.6486486486486
ID8598,14.0,401.4054054054054
ID5460,14.0,667.918918918919
ID9692,14.0,559.4594594594595
ID10493,14.0,399.4594594594595
ID6554,14.0,699.7297297297297
ID3076,14.0,912.8108108108108
ID7408,14.0,560.027027027027
ID3880,14.0,537.972972972973
ID8604,15.0,975.1081081081081
ID5462,15.0,658.972972972973
ID9694,15.0,562.027027027027
ID10495,15.0,402.27027027027026
ID6556,15.0,673.7027027027027
ID3079,15.0,1591.5945945945946
ID7411,15.0,1401.5405405405406
ID3883,15.0,1205.8108108108108
ID8607,16.0,763.4864864864865
ID5465,16.0,604.4864864864865
ID9696,16.0,559.3243243243244
ID10497,16.0,405.86486486486484
ID6558,16.0,660.8378378378378
ID3081,16.0,1392.4864864864865
ID7413,16.0,1075.2972972972973
ID3886,16.0,977.6216216216217
ID8610,17.0,703.4054054054054
ID5468,17.0,608.8108108108108
ID9698,17.0,538.027027027027
ID10499,17.0,416.64864864864865
ID6560,17.0,677.1081081081081
ID3083,17.0,1161.2702702702702
ID7415,17.0,909.7837837837837
ID3889,17.0,757.0540540540541
ID8614,18.0,790.7837837837837
ID5470,18.0,603.3243243243244
ID9700,18.0,542.8918918918919
ID10501,18.0,390.8378378378378
ID6562,18.0,707.8108108108108
ID3085,18.0,1008.3243243243244
ID7417,18.0,1095.1351351351352
ID3892,18.0,655.918918918919
ID8618,19.0,639.3783783783783
ID5473,19.0,597.6216216216217
ID9702,19.0,526.2702702702703
ID10503,19.0,366.3243243243243
ID6564,19.0,686.5405405405405
ID3088,19.0,1733.2702702702702
ID7419,19.0,868.6756756756756
ID3895,19.0,1210.2972972972973
ID8623,20.0,483.2162162162162
ID5476,20.0,716.8108108108108
ID9704,20.0,446.35135135135135
ID10505,20.0,351.97297297297297
ID6566,20.0,1063.1081081081081
ID3091,20.0,1148.5945945945946
ID7421,20.0,648.972972972973
ID3900,20.0,823.7567567567568
ID8626,21.0,600.6216216216217
ID5479,21.0,626.6486486486486
ID9706,21.0,563.1621621621622
ID10507,21.0,397.18918918918916
ID6568,21.0,1055.5405405405406
ID3097,21.0,1937.3243243243244
ID7424,21.0,737.1081081081081
ID3903,21.0,1248.3513513513512
ID8628,22.0,718.8108108108108
ID5481,22.0,626.5945945945946
ID9708,22.0,530.7297297297297
ID10509,22.0,417.97297297297297
ID6570,22.0,818.4324324324324
ID3099,22.0,1397.8918918918919
ID7426,22.0,1071.2702702702702
ID3908,22.0,960.4054054054054
ID8630,23.0,608.6486486486486
ID5484,23.0,600.0
ID9710,23.0,592.0540540540541
ID10511,23.0,406.4594594594595
ID6572,23.0,775.1621621621622
ID3101,23.0,1338.6216216216217
ID7428,23.0,868.027027027027
ID3912,23.0,778.8648648648649
ID8634,24.0,476.7567567567568
ID5486,24.0,580.5135135135135
ID9712,24.0,538.081081081081
ID10513,24.0,397.86486486486484
ID6574,24.0,703.1891891891892
ID3103,24.0,1003.027027027027
ID7430,24.0,643.2432432432432
ID3917,24.0,615.7297297297297
ID8640,25.0,446.4054054054054
ID5489,25.0,604.918918918919
ID9714,25.0,558.8378378378378
ID10515,25.0,397.4054054054054
ID6576,25.0,740.8648648648649
ID3105,25.0,991.2162162162163
ID7432,25.0,619.8108108108108
ID3921,25.0,576.027027027027
ID8643,26.0,1017.8648648648649
ID5492,26.0,601.8648648648649
ID9716,26.0,518.3513513513514
ID10517,26.0,374.2162162162162
ID6578,26.0,718.2432432432432
ID3107,26.0,893.8108108108108
ID7435,26.0,1383.4324324324325
ID3924,26.0,581.1351351351351
ID8645,27.0,813.5945945945946
ID5495,27.0,619.5675675675676
ID9718,27.0,560.972972972973
ID10519,27.0,361.5945945945946
ID6580,27.0,727.7027027027027
ID3109,27.0,903.3513513513514
ID7437,27.0,1271.972972972973
ID3927,27.0,561.972972972973
ID8647,28.0,659.4594594594595
ID5498,28.0,629.081081081081
ID9720,28.0,539.5945945945946
ID10521,28.0,355.4594594594595
ID6582,28.0,746.081081081081
ID3111,28.0,891.2432432432432
ID7439,28.0,980.027027027027
ID3930,28.0,711.8648648648649
ID8651,29.0,503.2432432432432
ID5500,29.0,612.2432432432432
ID9723,29.0,1715.7567567567567
ID10523,29.0,1214.1351351351352
ID6584,29.0,711.081081081081
ID3113,29.0,729.4864864864865
ID7441,29.0,716.3243243243244
ID3933,29.0,550.2162162162163
ID8658,30.0,482.1081081081081
ID5503,30.0,632.3783783783783
ID9725,30.0,1417.7027027027027
ID10528,30.0,938.8108108108108
ID6586,30.0,780.7297297297297
ID3115,30.0,761.4324324324324
ID7443,30.0,644.4594594594595
ID3935,30.0,506.9189189189189
ID8661,31.0,842.1621621621622
ID5505,31.0,598.4324324324324
ID9727,31.0,1002.5675675675676
ID10533,31.0,655.9459459459459
ID6588,31.0,647.1891891891892
ID3117,31.0,634.3783783783783
ID7445,31.0,1128.945945945946
ID3938,31.0,418.7567567567568
ID8664,32.0,719.9459459459459
ID5508,32.0,555.6216216216217
ID9729,32.0,834.1351351351351
ID10535,32.0,528.2162162162163
ID6590,32.0,630.1621621621622
ID3119,32.0,641.6756756756756
ID7447,32.0,880.8648648648649
ID3941,32.0,415.4594594594595
ID8666,33.0,596.7567567567568
ID5511,33.0,568.2162162162163
ID9731,33.0,1345.945945945946
ID10537,33.0,644.1351351351351
ID6592,33.0,636.2162162162163
ID3121,33.0,680.8108108108108
ID7449,33.0,686.3513513513514
ID3944,33.0,443.35135135135135
ID8668,34.0,535.9459459459459
ID5513,34.0,576.4324324324324
ID9733,34.0,1041.3243243243244
ID10539,34.0,504.9189189189189
ID6594,34.0,607.6216216216217
ID3123,34.0,1718.4054054054054
ID7451,34.0,574.1621621621622
ID3947,34.0,1222.6216216216217
ID8670,35.0,479.6216216216216
ID5516,35.0,1904.4054054054054
ID9735,35.0,869.1351351351351
ID10541,35.0,415.3243243243243
ID6596,35.0,1242.8918918918919
ID3125,35.0,1467.162162162162
ID7454,35.0,526.2432432432432
ID3950,35.0,916.027027027027
ID8676,36.0,384.6216216216216
ID5518,36.0,1234.972972972973
ID9737,36.0,663.9459459459459
ID10543,36.0,401.27027027027026
ID6600,36.0,1047.2162162162163
ID3129,36.0,1054.1891891891892
