Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,1,231,126,40,52,13,147,36.833584,41.726650,25.683826,32.372257,18.546021,31,34,0.523077,-22.196594,20.478559,28.838710,20.661765,1.163931,1.388967,0.848643,0.905087,0.505646,0.477954,0.492308,0.452377,0.126242,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,2,121,59,18,39,5,-5,23.218973,20.964075,7.211252,29.339407,22.579590,19,7,0.269231,-5.274248,8.904119,15.894737,18.571429,1.066907,1.464877,0.941874,0.952709,0.490821,0.512374,0.472527,0.473399,-0.166496,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,3,35,14,4,16,1,34,23.399517,24.110348,15.198591,22.155563,4.926575,7,4,0.363636,-0.955951,5.071585,14.071429,12.750000,1.552268,1.630658,0.911327,0.907945,0.465793,0.347311,0.470588,0.477547,0.042251,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,4,50,33,4,11,2,272,35.673866,35.999191,18.433781,34.047241,8.466024,15,3,0.166667,-1.044117,11.095943,18.933333,17.166667,1.461218,1.721885,0.784806,0.835755,0.581732,0.615887,0.441667,0.487131,0.027867,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,5,32,15,2,13,2,154,38.491547,43.469921,28.084757,8.621307,2.757324,6,1,0.142857,-0.341992,4.204902,23.083333,6.000000,1.687091,1.391252,0.910416,0.968242,0.445706,0.411118,0.440945,0.493298,0.668992,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,6,198,109,32,48,9,66,62.108231,65.205170,21.130542,56.477428,33.010337,40,22,0.354839,-13.371265,22.408628,43.975000,35.977273,1.344675,1.466927,0.862382,0.925772,0.451405,0.515216,0.449735,0.431679,0.071725,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,7,41,26,3,11,1,-75,43.326588,30.076807,12.427856,52.790722,19.866717,5,7,0.583333,-3.528447,2.637471,14.000000,23.428571,2.213253,1.980439,0.944667,0.891342,0.508047,0.460740,0.452736,0.439630,-0.274099,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,8,246,115,60,58,13,5,36.404453,35.469265,15.188092,37.415466,16.342820,40,37,0.480519,-22.902470,21.512049,27.325000,30.270270,1.030116,1.071150,0.921633,0.918002,0.504902,0.482436,0.474820,0.474180,-0.026702,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,9,65,28,13,18,6,-103,24.432482,15.828622,8.733608,31.960859,19.318832,7,8,0.533333,-5.226070,3.942185,22.214286,31.687500,0.757466,0.958442,0.907279,0.853453,0.536947,0.535638,0.474403,0.477171,-0.337569,-1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316e_N2_CGC_20C_d8C_H\210316e_N2_CGC_20C_d8C_H_w1a_tracks.bin,10,75,46,7,21,1,-64,30.482311,27.360937,12.679077,33.036160,15.224010,9,11,0.550000,-6.884438,5.069849,15.833333,15.863636,1.680655,1.916793,0.943535,0.915678,0.488306,0.537782,0.472843,0.475830,-0.093965,0,0 
