Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,15,81,29,29,16,7,194,18.776485,23.387848,10.699518,10.322320,5.916361,22,12,0.352941,-6.090652,10.931473,22.250000,12.083333,1.023717,0.865628,0.964089,0.931529,0.465377,0.474986,0.465000,0.549830,0.387584,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,16,254,82,82,65,25,167,19.334656,21.410982,5.157404,15.537945,3.619221,64,35,0.353535,-12.354780,22.894506,18.484375,14.871429,1.061772,0.870099,0.943319,0.875516,0.505404,0.492714,0.461328,0.551286,0.158950,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,17,239,78,95,45,21,242,27.499842,28.670658,5.795221,25.537931,3.794523,62,37,0.373737,-9.925118,19.245794,23.637097,20.959459,1.106423,1.081882,0.954472,0.944585,0.490185,0.502020,0.461603,0.554360,0.057790,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,18,272,95,70,78,29,156,24.099792,29.072496,6.901433,16.842331,4.256292,54,37,0.406593,-13.681343,20.156612,25.527778,15.135135,1.057534,1.030061,0.962552,0.956372,0.490178,0.472216,0.463150,0.545897,0.266366,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,19,211,78,69,51,13,491,37.194679,23.673275,12.518066,77.758904,15.308289,60,20,0.250000,-8.932890,40.151115,19.016667,50.375000,1.027207,1.050159,0.922759,0.812869,0.496576,0.379447,0.451424,0.550078,-0.533220,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,20,76,30,29,13,4,-31,52.565742,39.984032,9.153577,70.539612,13.727897,20,14,0.411765,-2.975706,9.019826,29.025000,48.000000,1.372585,1.408288,0.950769,0.960631,0.503053,0.467148,0.450463,0.550721,-0.276462,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,21,221,100,42,59,20,-107,29.025537,23.592833,6.180143,32.556797,6.268738,26,40,0.606061,-15.937304,14.147398,21.096154,27.125000,0.977989,0.974338,0.932734,0.889812,0.505361,0.486246,0.457454,0.548585,-0.159644,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,22,81,12,27,26,16,54,13.058289,13.218479,5.347750,12.785967,4.622986,17,10,0.370370,-4.509961,8.557380,12.205882,10.550000,1.024779,1.120547,0.966477,0.949002,0.517326,0.491939,0.456551,0.548513,0.016632,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,23,227,76,65,58,28,295,19.403357,22.084009,5.988184,13.818664,1.581065,50,24,0.324324,-5.393591,21.706377,23.280000,15.416667,0.816377,0.723158,0.958147,0.893402,0.530826,0.485461,0.450318,0.544836,0.230215,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,24,85,41,24,17,3,422,40.211578,35.404140,12.680314,58.840397,4.366135,31,8,0.205128,-1.545308,17.238199,32.951613,44.437500,0.851556,0.993492,0.899541,0.782970,0.481235,0.554060,0.445618,0.547511,-0.248675,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,25,117,30,46,26,15,-59,24.657423,29.977629,9.808601,21.307667,8.715979,17,27,0.613636,-14.261818,10.939848,22.676471,18.259259,0.997636,0.886935,0.931375,0.873027,0.495684,0.517049,0.448276,0.549031,0.169054,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,26,103,37,37,21,8,-4,41.853596,41.533184,12.420659,42.246826,10.593278,27,22,0.448980,-9.642194,9.957533,33.481481,32.636364,1.134105,1.149572,0.906687,0.907494,0.523225,0.510398,0.448884,0.551460,-0.008518,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,27,49,29,17,3,0,31,43.748669,32.834484,10.552650,65.577026,21.397629,16,8,0.333333,-4.363614,8.309198,25.843750,49.125000,0.979744,0.833892,0.879971,0.806863,0.508024,0.519291,0.444959,0.548861,-0.332710,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,28,49,15,13,15,6,-9,41.356358,29.755333,5.359952,59.586529,10.389980,11,7,0.388889,-2.105970,3.530089,21.545455,41.500000,1.162869,1.148884,0.970443,0.934329,0.518714,0.537027,0.444381,0.548423,-0.333899,0,0 
