Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,16,231,100,64,51,16,329,23.488949,27.106091,9.965171,17.679596,5.960016,53,33,0.383721,-16.459665,26.298206,23.301887,17.439394,0.974285,0.834783,0.909058,0.880789,0.518494,0.506585,0.488810,0.510155,0.210480,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,17,146,54,49,35,8,207,53.771599,55.590309,9.972057,49.960957,10.613537,44,21,0.323077,-7.788422,14.711872,43.386364,36.857143,1.093792,1.218599,0.912597,0.917214,0.493825,0.545848,0.480306,0.501132,0.053333,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,18,226,74,49,71,32,388,30.424202,31.906610,11.039747,27.783661,7.231167,57,32,0.359551,-13.523110,26.220089,27.342105,24.343750,1.074532,0.989349,0.949307,0.915825,0.472515,0.539676,0.472582,0.503327,0.069072,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,19,279,123,61,70,25,312,20.803841,20.652565,9.570453,21.041559,7.511801,55,35,0.388889,-16.875599,30.602213,19.881818,19.771429,0.907230,0.933875,0.936365,0.925684,0.500298,0.518127,0.469350,0.504338,-0.009330,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,20,195,58,48,62,27,326,26.444286,32.710926,9.556209,14.913670,4.039888,46,25,0.352113,-9.392043,19.352739,35.630435,19.240000,0.819470,0.716633,0.920118,0.941918,0.493681,0.519027,0.463918,0.505814,0.373699,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,21,30,24,4,2,0,-43,9.372583,4.437562,2.781746,15.952614,12.660319,8,6,0.428571,-4.987673,5.311316,11.625000,38.416667,0.283736,0.359256,0.720845,0.768031,0.541059,0.432795,0.463497,0.507179,-0.564735,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,22,150,67,45,32,6,452,53.128342,56.060566,17.132476,45.981045,12.150166,39,16,0.290909,-6.344483,18.688778,44.179487,38.593750,1.135311,1.194262,0.903523,0.930667,0.488991,0.504066,0.460665,0.511733,0.098779,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,23,114,27,41,30,16,102,47.657520,62.033314,11.455830,29.256506,10.841797,32,25,0.438596,-11.004584,11.826825,54.640625,25.440000,1.054403,1.084741,0.909157,0.969719,0.518426,0.490943,0.468992,0.510863,0.359041,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,24,129,33,47,32,17,60,39.616112,36.119583,6.878052,44.423840,6.843847,33,24,0.421053,-8.631053,11.265450,33.606061,40.937500,0.953491,0.931919,0.960595,0.929857,0.475370,0.539814,0.469933,0.510069,-0.103103,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,25,71,18,29,16,8,125,30.660706,31.926796,13.182048,29.032877,11.223188,18,14,0.437500,-8.033834,9.469294,23.944444,21.821429,1.152652,1.156512,0.929142,0.901433,0.521631,0.492402,0.469181,0.507230,0.047473,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,26,108,50,21,26,11,144,24.208914,34.176132,8.496600,10.137550,4.148631,24,17,0.414634,-8.347335,8.558581,40.979167,16.500000,0.717478,0.550418,0.913682,0.855168,0.510589,0.508098,0.469014,0.502724,0.542464,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,27,78,25,26,20,7,-324,43.612617,51.928028,9.392090,38.721191,23.807947,10,17,0.629630,-12.630305,3.935677,33.300000,29.705882,1.363908,1.010776,0.923688,0.841402,0.478229,0.567364,0.470629,0.502069,0.145692,-2,2 
