Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,18,185,79,37,51,18,235,29.324547,38.975563,24.324254,20.879911,10.437073,21,24,0.533333,-15.267550,13.056240,31.309524,16.625000,1.000565,1.052319,0.899266,0.931211,0.514558,0.474376,0.451241,0.495631,0.302322,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,19,109,54,26,23,6,538,53.671379,48.477196,22.838711,66.829971,20.941077,38,15,0.283019,-9.681521,23.775560,35.539474,50.466667,1.163983,1.155633,0.846560,0.816583,0.464306,0.437634,0.450466,0.497632,-0.159164,3,3 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,20,122,68,24,27,3,8,36.596218,33.268219,12.437763,39.470394,10.302734,19,22,0.536585,-9.271679,10.924720,22.894737,27.159091,1.224286,1.254593,0.879785,0.879007,0.543707,0.432615,0.451718,0.495211,-0.085267,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,21,81,50,12,17,2,212,73.690117,76.691856,23.434088,68.232376,22.952515,20,11,0.354839,-6.369599,11.852364,55.675000,46.772727,1.010227,1.236270,0.773050,0.851106,0.487162,0.506682,0.452514,0.491473,0.058372,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,22,80,34,20,18,8,-49,13.177955,4.514943,2.347001,20.821789,4.718280,15,17,0.531250,-9.422736,11.242444,21.800000,37.470588,0.246222,0.427390,0.653927,0.822506,0.458718,0.477291,0.456031,0.489864,-0.643605,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,23,97,55,13,22,7,33,57.430813,59.007164,21.494359,55.933289,14.479645,19,20,0.512821,-9.148814,11.411933,43.868421,39.300000,1.142392,1.127563,0.844123,0.825579,0.488880,0.422453,0.458459,0.494991,0.026743,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,24,95,48,19,24,4,46,52.760059,52.931442,21.308030,52.570648,18.664801,21,19,0.475000,-9.115954,13.888729,41.523810,39.657895,1.039550,1.198123,0.855754,0.895539,0.476651,0.518300,0.458944,0.504995,0.003420,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,25,85,28,19,26,12,79,50.600861,47.810261,14.380147,53.740288,12.088890,18,16,0.470588,-6.948310,9.662401,36.527778,40.312500,1.016402,1.127063,0.862037,0.919182,0.497267,0.473391,0.459227,0.503023,-0.058395,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,26,84,45,15,20,4,14,34.223003,42.669807,13.463975,27.043219,8.276080,17,20,0.540541,-8.749568,8.715941,32.558824,20.700000,1.133706,1.153870,0.822480,0.848185,0.429193,0.399285,0.466899,0.504045,0.224156,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,27,56,17,18,14,7,199,52.615566,40.880032,18.218770,73.739517,13.244019,18,10,0.357143,-3.330312,11.273759,28.111111,51.300000,1.268223,1.299150,0.938845,0.917414,0.434731,0.518308,0.465482,0.508753,-0.286683,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,28,41,24,6,10,1,-65,64.232552,80.854080,8.849221,47.611038,13.415017,11,11,0.500000,-5.114380,4.390516,60.318182,33.318182,0.852027,1.131555,0.662664,0.840087,0.384631,0.479263,0.468687,0.512250,0.258771,0,0 
